[2025-02-09 14:09:42,954: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:11:35,072: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:11:35,074: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:11:35,075: INFO: common: created directory at: artifacts]
[2025-02-09 14:11:35,076: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:13:13,216: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:13:13,218: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:13:13,219: INFO: common: created directory at: artifacts]
[2025-02-09 14:13:13,220: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:16:35,209: INFO: config: PyTorch version 2.5.1 available.]
[2025-02-09 14:16:45,397: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:16:45,399: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:16:45,400: INFO: common: created directory at: artifacts]
[2025-02-09 14:16:45,401: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:18:05,331: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:18:05,332: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:18:05,333: INFO: common: created directory at: artifacts]
[2025-02-09 14:18:05,334: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:34:13,592: INFO: config: PyTorch version 2.5.1 available.]
[2025-02-09 14:34:13,915: INFO: main: stageData ingestion stage initiated]
[2025-02-09 14:34:13,916: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:34:13,917: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:34:13,918: INFO: common: created directory at: artifacts]
[2025-02-09 14:34:13,918: INFO: common: created directory at: artifacts]
[2025-02-09 14:34:13,918: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-09 14:34:13,919: INFO: data_ingestion: File already exits]
[2025-02-09 14:34:14,021: INFO: main: Stage Data ingestion stage Completed]
[2025-02-09 14:34:14,021: INFO: main: stageData Transformation stage initiated]
[2025-02-09 14:34:14,023: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-09 14:34:14,024: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-09 14:34:14,025: INFO: common: created directory at: artifacts]
[2025-02-09 14:34:14,025: INFO: common: created directory at: artifacts]
[2025-02-09 14:34:14,025: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-09 14:34:24,662: INFO: main: Stage Data Transformation stage Completed]
